,Country,Frequency,Last Time,Total Amount,Clustering
0,Australia,1913,15,167129.06999999975,2
1,Austria,938,1,23177.600000000035,2
2,Bahrain,126,203,2861.55,2
3,Belgium,3123,0,63574.49000000031,2
4,Bermuda,34,631,1253.1399999999999,0
5,Brazil,94,238,1411.87,0
6,Canada,228,106,4883.039999999998,2
7,Channel Islands,1664,1,41453.61000000027,2
8,Cyprus,1176,7,24162.740000000045,2
9,Czech Republic,30,20,707.72,2
10,Denmark,817,3,65741.09000000007,2
11,EIRE,17866,0,615519.5500000096,2
12,European Community,61,141,1291.75,2
13,Finland,1049,2,29514.449999999964,2
14,France,14330,0,328191.7999999974,2
15,Germany,17624,0,417988.561,2
16,Greece,663,3,18995.490000000034,2
17,Hong Kong,364,24,14039.300000000023,2
18,Iceland,253,1,5633.3199999999915,2
19,Israel,371,65,11107.219999999998,2
20,Italy,1534,3,30679.350000000028,2
21,Japan,582,3,43776.57999999998,2
22,Korea,63,375,949.8200000000002,0
23,Lebanon,58,316,1865.9100000000003,0
24,Lithuania,189,365,6553.740000000002,0
25,Malta,299,8,5192.219999999997,2
26,Netherlands,5140,1,548524.9500000032,2
27,Nigeria,32,475,-6.660000000000006,0
28,Norway,1455,0,39243.03000000004,2
29,Poland,535,20,10528.089999999987,2
30,Portugal,2620,1,53136.800000000214,2
31,RSA,169,57,3369.0300000000025,2
32,Saudi Arabia,10,281,131.17,0
33,Singapore,346,51,13158.159999999996,2
34,Spain,3811,1,91859.47999999927,2
35,Sweden,1364,3,87809.41999999997,2
36,Switzerland,3189,10,99728.75999999967,2
37,Thailand,76,522,3070.539999999998,0
38,USA,535,1,6286.539999999997,2
39,United Arab Emirates,500,77,9948.649999999983,2
40,United Kingdom,976948,0,16382583.897013701,1
41,Unspecified,756,14,9687.319999999994,2
42,West Indies,54,473,536.4099999999999,0
